Country Code,Country Name,Year,Series Name_x,Fertility Rate,Series Name_y,GDP,Series Name_z,GDP Percentage
AFG,Afghanistan,2014,"Fertility rate, total (births per woman)",5.56,GDP per capita (current US$),626.512929086139,GDP per capita growth (annual %),-0.964803330930579
ALB,Albania,2014,"Fertility rate, total (births per woman)",1.674,GDP per capita (current US$),4578.63320812155,GDP per capita growth (annual %),1.98538809180384
DZA,Algeria,2014,"Fertility rate, total (births per woman)",3.004,GDP per capita (current US$),6164.64469897525,GDP per capita growth (annual %),2.06006244899419
ASM,American Samoa,2014,"Fertility rate, total (births per woman)",0.0,GDP per capita (current US$),12313.9973571825,GDP per capita growth (annual %),3.27902164193507
AND,Andorra,2014,"Fertility rate, total (births per woman)",0.0,GDP per capita (current US$),45680.5349920165,GDP per capita growth (annual %),2.14093898224779
AGO,Angola,2014,"Fertility rate, total (births per woman)",5.864,GDP per capita (current US$),5011.9844274536,GDP per capita growth (annual %),1.03072911796671
ATG,Antigua and Barbuda,2014,"Fertility rate, total (births per woman)",1.526,GDP per capita (current US$),15451.4952444039,GDP per capita growth (annual %),1.36499745689306
ARG,Argentina,2014,"Fertility rate, total (births per woman)",2.312,GDP per capita (current US$),12334.7982453893,GDP per capita growth (annual %),-3.57858050983289
ARM,Armenia,2014,"Fertility rate, total (births per woman)",1.703,GDP per capita (current US$),4017.22991449473,GDP per capita growth (annual %),4.01064593319273
ABW,Aruba,2014,"Fertility rate, total (births per woman)",2.148,GDP per capita (current US$),26940.2641144313,GDP per capita growth (annual %),-2.26486910646535
AUS,Australia,2014,"Fertility rate, total (births per woman)",1.826,GDP per capita (current US$),62558.2438786332,GDP per capita growth (annual %),1.08830078150544
AUT,Austria,2014,"Fertility rate, total (births per woman)",1.46,GDP per capita (current US$),51786.3771747905,GDP per capita growth (annual %),-0.122370667337563
AZE,Azerbaijan,2014,"Fertility rate, total (births per woman)",1.97,GDP per capita (current US$),7890.84028062087,GDP per capita growth (annual %),1.47593694077869
BHR,Bahrain,2014,"Fertility rate, total (births per woman)",2.158,GDP per capita (current US$),25464.760097715,GDP per capita growth (annual %),0.413894139030546
