"country_name","country_code","year","avg_fertility_rate","avg_gdp"
"European Union","EUU",2023,"103725452.973076923077","20411.930000000000"
"Togo","TGO",2023,"2089359.924615384615","508.4850000000000000"
"World","WLD",2023,"1851784837.97000000","6570.0550000000000000"
"Nepal","NPL",2023,"7130002.160769230769","662.4150000000000000"
"Gabon","GAB",2023,"562305.203076923077","4210.1850000000000000"
"South Asia (IDA & IBRD)","TSA",2023,"447357603.23846154","1157.0100000000000000"
"Gambia. The","GMB",2023,"639983.960769230769","423.2600000000000000"
"Iraq","IRQ",2023,"10501073.453076923077","2753.6950000000000000"
"Bosnia and Herzegovina","BIH",2023,"740983.770769230769","4214.2400000000000000"
"Cote dIvoire,CIV,2023,50.46,GDP per capita (current US$),NY.GDP.PCAP.CD,2728.80
Population. male (% of total population),Cote dIvoire","CIV",2023,"50.4600000000000000","3.9100000000000000"
"Vanuatu","VUT",2023,"77215.414615384615","1683.4650000000000000"
"Congo. Rep.","COG",2023,"1409299.201538461538","1254.2250000000000000"
"United Arab Emirates","ARE",2023,"2196218.104615384615","26489.695000000000"
"Brunei Darussalam","BRN",2023,"104447.061538461538","16715.770000000000"
"France","FRA",2023,"15731611.368461538462","22230.615000000000"
"Cote dIvoire,CIV,2023,46.85,GDP per capita (current US$),NY.GDP.PCAP.CD,2728.80
Rural population (% of total population),Cote dIvoire","CIV",2023,"46.8500000000000000","3.9100000000000000"
"Czechia","CZE",2023,"2509333.065384615385","15212.630000000000"
"Africa Western and Central","AFW",2023,"116028371.11000000","792.5550000000000000"
"Europe & Central Asia (IDA & IBRD countries)","TEC",2023,"105401703.74076923","5978.0700000000000000"
"Ethiopia","ETH",2023,"29198574.065384615385","648.8150000000000000"
"East Asia & Pacific","EAS",2023,"549369519.71692308","6465.7700000000000000"
"Serbia","SRB",2023,"1527256.128461538462","5682.1050000000000000"
"Costa Rica","CRI",2023,"1202828.010769230769","8299.9250000000000000"
"Georgia","GEO",2023,"867796.528461538462","4063.2350000000000000"
"China","CHN",2023,"325548480.19230769","6309.6850000000000000"
"Armenia","ARM",2023,"641089.403846153846","4362.2850000000000000"
"Sub-Saharan Africa (excluding high income)","SSA",2023,"286564186.17076923","817.8250000000000000"
"Middle East & North Africa","MEA",2023,"115566322.92076923","4281.0700000000000000"
"Sri Lanka","LKA",2023,"5085480.851538461538","1913.1500000000000000"
"Low & middle income","LMY",2023,"1521358074.31461538","2839.9350000000000000"
"Latvia","LVA",2023,"434270.046923076923","11591.950000000000"
"Latin America & Caribbean","LCN",2023,"153264159.08615385","5341.5700000000000000"
"Azerbaijan","AZE",2023,"2333685.296153846154","3578.2500000000000000"
"Puerto Rico","PRI",2023,"739794.478461538462","18390.040000000000"
"Lao PDR","LAO",2023,"1761661.174615384615","1038.8650000000000000"
"Ukraine","UKR",2023,"8538480.450000000000","2594.7050000000000000"
"St. Kitts and Nevis","KNA",2023,"11039.100769230769","11278.265000000000"
"Dominica","DMA",2023,"16873.988461538462","4479.0900000000000000"
"Switzerland","CHE",2023,"2042293.178461538462","49997.405000000000"
"Cote dIvoire,CIV,2023,3.42,GDP per capita (current US$),NY.GDP.PCAP.CD,2728.80
Urban population growth (annual %),Cote dIvoire","CIV",2023,"3.4200000000000000","3.9100000000000000"
"Bangladesh","BGD",2023,"39912554.487692307692","1266.8850000000000000"
"Tuvalu","TUV",2023,"2650.1223076923076923","2734.0950000000000000"
"Netherlands","NLD",2023,"4126055.350000000000","31267.925000000000"
"Latin America & Caribbean (excluding high income)","LAC",2023,"138652098.43076923","5035.9350000000000000"
"Bahrain","BHR",2023,"342827.693846153846","14542.940000000000"
"Middle income","MIC",2023,"1354515598.15846154","3135.2450000000000000"
"Tanzania","TZA",2023,"15562662.575384615385","606.6200000000000000"
"Madagascar","MDG",2023,"6998267.424615384615","265.0950000000000000"
"Cote dIvoire,CIV,2023,49.54,GDP per capita (current US$),NY.GDP.PCAP.CD,2728.80
Population. female (% of total population),Cote dIvoire","CIV",2023,"49.5400000000000000","3.9100000000000000"
"United Kingdom","GBR",2023,"15773096.853076923077","24432.945000000000"
"Mauritius","MUS",2023,"291028.013076923077","5711.9700000000000000"
"Belarus","BLR",2023,"2118087.921538461538","3916.7500000000000000"
"Colombia","COL",2023,"12019672.826923076923","3489.9650000000000000"
"Ghana","GHA",2023,"7874325.280000000000","1119.5800000000000000"
"Italy","ITA",2023,"13560284.252307692308","19187.200000000000"
"Belgium","BEL",2023,"2728310.374615384615","26737.740000000000"
"Fiji","FJI",2023,"216106.092307692308","2937.7100000000000000"
"Mexico","MEX",2023,"29643611.494615384615","6964.2850000000000000"
"Trinidad and Tobago","TTO",2023,"354235.086923076923","9167.4000000000000000"
"Nicaragua","NIC",2023,"1626091.409230769231","1266.7050000000000000"
"Sudan","SDN",2023,"11102100.440769230769","1129.0950000000000000"
"Burkina Faso","BFA",2023,"5365749.869230769231","437.2600000000000000"
"Sweden","SWE",2023,"2431550.416923076923","28152.290000000000"
"Chile","CHL",2023,"4529924.306153846154","8546.6650000000000000"
"Middle East & North Africa (IDA & IBRD countries)","TMN",2023,"98236482.329230769231","1914.1900000000000000"
"Yemen. Rep.","YEM",2023,"7949981.060769230769","533.3700000000000000"
"Hungary","HUN",2023,"2213066.572307692308","11073.425000000000"
"Uzbekistan","UZB",2023,"8402870.033846153846","1249.9350000000000000"
"Micronesia. Fed. Sts.","FSM",2023,"26610.252307692308","1996.0400000000000000"
"Timor-Leste","TLS",2023,"314004.448461538462","816.5400000000000000"
"Ecuador","ECU",2023,"4197823.456153846154","3267.3200000000000000"
"Panama","PAN",2023,"1031116.755384615385","9333.8300000000000000"
"Kuwait","KWT",2023,"1077546.690000000000","18765.025000000000"
"Zambia","ZMB",2023,"4746884.586923076923","686.0600000000000000"
"Jordan","JOR",2023,"2616262.396923076923","2242.1200000000000000"
"Malawi","MWI",2023,"4830426.337692307692","335.9300000000000000"
"Australia","AUS",2023,"6147376.357692307692","32356.185000000000"
"Nauru","NRU",2023,"3217.7050000000000000","6029.9500000000000000"
"Djibouti","DJI",2023,"262278.503846153846","1805.8150000000000000"
"Jamaica","JAM",2023,"652066.839230769231","3438.2350000000000000"
"Pre-demographic dividend","PRE",2023,"245933241.04076923","732.9500000000000000"
"Guinea-Bissau","GNB",2023,"496369.722307692308","458.1650000000000000"
"Oman","OMN",2023,"1071799.552307692308","11647.570000000000"
"Congo. Dem. Rep.","COD",2023,"23599133.187692307692","327.1250000000000000"
"Morocco","MAR",2023,"8732337.506923076923","1837.1150000000000000"
"St. Vincent and the Grenadines","VCT",2023,"23949.436153846154","5142.8800000000000000"
"Greece","GRC",2023,"2391087.690769230769","11496.335000000000"
"West Bank and Gaza","PSE",2023,"1192123.348461538462","1679.9350000000000000"
"Belize","BLZ",2023,"94825.176923076923","3995.3600000000000000"
"Canada","CAN",2023,"9253349.696923076923","26684.925000000000"
"Eswatini","SWZ",2023,"279440.780000000000","1900.6750000000000000"
"Uruguay","URY",2023,"789967.301538461538","11282.445000000000"
"Zimbabwe","ZWE",2023,"3845885.437692307692","797.6000000000000000"
"Caribbean small states","CSS",2023,"731035.776923076923","8411.4600000000000000"
"Estonia","EST",2023,"315294.355384615385","14909.755000000000"
"Africa Eastern and Southern","AFE",2023,"170563477.36000000","836.3000000000000000"
"Turks and Caicos Islands","TCA",2023,"10647.804615384615","15219.415000000000"
"Iran. Islamic Rep.","IRN",2023,"20578349.772307692308","2253.3850000000000000"
"Spain","ESP",2023,"11163097.127692307692","16339.110000000000"
"Late-demographic dividend","LTE",2023,"536961532.15384615","6092.1800000000000000"
"Portugal","PRT",2023,"2428946.191538461538","13638.125000000000"
"Seychelles","SYC",2023,"27658.875384615385","8941.2450000000000000"
"Hong Kong SAR. China","HKG",2023,"1884046.158333333333","25348.600000000000"
"OECD members","OED",2023,"319616708.59230769","23140.845000000000"
"Palau","PLW",2023,"4185.9000000000000000","7282.8800000000000000"
"India","IND",2023,"329683326.07769231","1245.7850000000000000"
