Country_Name,Country_Code,Year,Fertility_Rate,GDP
Afghanistan,AFG,2014,5.56,626.5129291
Afghanistan,AFG,2014,5.56,-0.964803331
Africa Eastern and Southern,AFE,2014,4.7398612,1678.55361
Africa Eastern and Southern,AFE,2014,4.7398612,1.175569552
Africa Western and Central,AFW,2014,5.437493408,2248.518426
Africa Western and Central,AFW,2014,5.437493408,3.089858567
Albania,ALB,2014,1.674,4578.633208
Albania,ALB,2014,1.674,1.985388092
Algeria,DZA,2014,3.004,6164.644699
Algeria,DZA,2014,3.004,2.060062449
Angola,AGO,2014,5.864,5011.984427
Angola,AGO,2014,5.864,1.030729118
Antigua and Barbuda,ATG,2014,1.526,15451.49524
Antigua and Barbuda,ATG,2014,1.526,1.364997457
Arab World,ARB,2014,3.500174252,7300.599771
Arab World,ARB,2014,3.500174252,0.12172962
Argentina,ARG,2014,2.312,12334.79825
Argentina,ARG,2014,2.312,-3.57858051
Armenia,ARM,2014,1.703,4017.229914
Armenia,ARM,2014,1.703,4.010645933
Aruba,ABW,2014,2.148,26940.26411
Aruba,ABW,2014,2.148,-2.264869106
Australia,AUS,2014,1.826,62558.24388
Australia,AUS,2014,1.826,1.088300782
Austria,AUT,2014,1.46,51786.37717
Austria,AUT,2014,1.46,-0.122370667
Azerbaijan,AZE,2014,1.97,7890.840281
Azerbaijan,AZE,2014,1.97,1.475936941
Bahamas. The,BHS,2014,1.673,28201.5568
Bahamas. The,BHS,2014,1.673,0.936178676
Bahrain,BHR,2014,2.158,25464.7601
Bahrain,BHR,2014,2.158,0.413894139
Bangladesh,BGD,2014,2.152,1108.522513
Bangladesh,BGD,2014,2.152,4.747779227
Barbados,BRB,2014,1.62,16980.02706
Barbados,BRB,2014,1.62,-0.284468003
Belarus,BLR,2014,1.696,8341.290143
Belarus,BLR,2014,1.696,1.669105162
Belgium,BEL,2014,1.74,47764.07151
Belgium,BEL,2014,1.74,1.128595725
Belize,BLZ,2014,2.491,6031.548402
Belize,BLZ,2014,2.491,1.748010161
Benin,BEN,2014,5.348,1251.504765
Benin,BEN,2014,5.348,3.290504999
Bermuda,BMU,2014,1.4,98467.68399
Bermuda,BMU,2014,1.4,-3.903606108
Bhutan,BTN,2014,2.027,2793.931303
Bhutan,BTN,2014,2.027,4.64569407
Bolivia,BOL,2014,2.947,3022.462884
Bolivia,BOL,2014,2.947,3.783187059
Bosnia and Herzegovina,BIH,2014,1.262,5196.970084
Bosnia and Herzegovina,BIH,2014,1.262,2.47075228
Botswana,BWA,2014,2.951,6844.03325
Botswana,BWA,2014,2.951,3.679522612
Brazil,BRA,2014,1.767,12071.40446
Brazil,BRA,2014,1.767,-0.354514802
Brunei Darussalam,BRN,2014,1.969,41035.77712
Brunei Darussalam,BRN,2014,1.969,-3.667518932
Bulgaria,BGR,2014,1.53,7912.274844
Bulgaria,BGR,2014,1.53,1.524868111
Burkina Faso,BFA,2014,5.595,767.3713441
Burkina Faso,BFA,2014,5.595,1.263996385
Burundi,BDI,2014,5.794,257.8185574
Burundi,BDI,2014,5.794,0.810602801
Cabo Verde,CPV,2014,2.17,3739.278279
Cabo Verde,CPV,2014,2.17,-0.434814396
Cambodia,KHM,2014,2.589,1098.074538
Cambodia,KHM,2014,2.589,5.655376849
Cameroon,CMR,2014,4.855,1631.713985
Cameroon,CMR,2014,4.855,2.558902686
Canada,CAN,2014,1.61,50960.84312
Canada,CAN,2014,1.61,1.848409517
Caribbean small states,CSS,2014,2.170844678,11359.1649
Caribbean small states,CSS,2014,2.170844678,0.941171595
Central African Republic,CAF,2014,6.024,394.856933
Central African Republic,CAF,2014,6.024,0.158111559
Central Europe and the Baltics,CEB,2014,1.442974424,14143.73975
Central Europe and the Baltics,CEB,2014,1.442974424,3.432710333
Chad,TCD,2014,6.781,1017.787762
Chad,TCD,2014,6.781,3.15098859
Chile,CHL,2014,1.774,14675.15086
Chile,CHL,2014,1.774,0.77292782
China,CHN,2014,1.769,7636.07434
China,CHN,2014,1.769,6.750760316
Colombia,COL,2014,1.883,8167.472842
Colombia,COL,2014,1.883,3.513953479
Comoros,COM,2014,4.492,1608.687877
Comoros,COM,2014,4.492,-0.067894786
